movie_id,Rating,gross_income_doller,budget,Vote,Gross,rm_apr,rm_aug,rm_dec,rm_feb,rm_jan,rm_jul,rm_jun,rm_mar,rm_may,rm_nov,rm_oct,rm_sep,Year,Duration,MetaScore,Name,producer,producer_no,pop_rank_producer,Producer_fb_like,actor_1_name,actor_1_no,pop_rank_actor_1,actor_1_fb_likes,actor_2_name,actor_2_no,pop_rank_actor_2,actor_2_fb_likes,actor_3_name,actor_3_no,pop_rank_actor_3,actor_3_fb_likes,composer,composer_no,pop_rank_composer,composer_fb_like,directors,director_no,pop_rank_director,director_fb_likes,total_rank,total_fb_like, Musical, Mystery,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Romance,Sci_Fi,Sport,Thriller,War,Western,Assamese,Bengali,Bhojpuri,English,Gujarati,Hindi,Kannada,Malayalam,Mandarin,Marathi,Punjabi,Tamil,Telugu,Tibetan,Urdu,class
5978194,6.8,373271,1400000,293,675101,0,0,0,0,0,0,0,0,0,0,0,0,2016,140,0,Bhouri,Chandrapal Singh,1,6,8719,Raghuvir Yadav,1,6,0,Masha Pour,1,6,900,Kunickaa Sadanand,4,6,6605,Sanjay Pathak,1,6,0,Jasbir Bhaati,1,6,450,6,16674,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
8037610,8.2,10915,1400000,278,675101,0,0,0,1,0,0,0,0,0,0,0,0,2018,140,0,Gulabjaam, Unknown,419,6.72,411821,Siddharth Chandekar,3,6.67,5168,Madhura Deshpande,1,6,13545,Sonali Kulkarni,4,7,0,Debarpito Saha,1,6,0,Sachin Kundalkar,1,6,0,6.4,430534,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
7668424,8.2,373271,1400000,91,675101,0,0,0,0,0,0,0,0,0,0,0,0,2017,141,0,Idi Maa Prema Katha, Unknown,419,6.72,411821,Meghana Lokesh,1,8,471034,Priyadarshi,1,8,135413,Anchor Ravi,1,8,1258941, Unknown,427,6.54,38071,Vishwanath Ayodhya Karthik,1,8,0,7.54,2315280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
2924472,8,373271,1400000,4661,675101,0,0,0,0,0,0,0,0,0,0,0,0,2013,145,0,Mumbai Police,Nisad Haneefa,1,10,229,Prithviraj Sukumaran,18,7.17,3283158,Jayasurya,3,8.67,1962949,Rahman,3,8.67,927087,Gopi Sundar,38,6.79,632712,Roshan Andrews,3,8.67,210012,8.33,7016147,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
8919380,5.4,9273,1400000,31,675101,0,0,0,0,0,0,1,0,0,0,0,0,2019,131,0,Munda Faridkotia,Daljit Singh Thind,1,5,0,Roshan Prince,1,5,1963843,Sharan Kaur,1,5,16974,Navpreet Banga,1,5,24979, Unknown,427,6.54,38071,Mandeep Singh Chahal,2,6.5,0,5.51,2043867,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
3579644,7.7,373271,1400000,163,675101,0,0,0,0,0,0,0,0,0,0,0,0,2014,143,0,Chirodini Tumi Je Amar 2,Shrikant Mohta,6,6.83,0,Arjun Chakraborty,1,8,0,Urmila Mahanta,1,8,121683,Bihu Mukherjee,1,8,0,Jeet Gannguli,19,6.16,0,Soumik Chatterjee,1,8,0,7.5,121683,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8364132,8.8,373271,1400000,167,675101,0,0,0,0,0,0,0,0,0,0,0,0,2019,163,0,Birbal Trilogy,Chandrashekar,2,7,0,M.G. Srinivas,1,8,19565,Rukmini Vasanth,1,8,0,Unknown,54,6.67,0,Saurabh Vaibhav,2,9,1839,M.G. Srinivas,1,8,0,7.78,21404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
5125414,4.7,3403,2800000,981,675101,0,0,1,0,0,0,0,0,0,0,0,0,2017,140,0,Amazon Obhijaan,Mahendra Soni,27,6.56,9790,Dev,6,5.83,0,David James,1,5,0,Svetlana Gulakova,1,5,0,Debajyoti Mishra,15,7.07,0,Kamaleswar Mukherjee,4,6,16206,5.91,25996,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0
2780978,7.9,373271,1400000,62,675101,0,0,0,0,0,0,0,0,0,0,0,0,2013,105,0,Sikander,Poonam Pawar,1,8,0,Gul Panag,2,7,322268,Kartar Cheema,2,6.5,461864,Manav Vij,1,8,0,Saikat Kumar Singha,1,8,0,Jatinder Mauhar,1,8,0,7.58,784132,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
6861726,7,196046,7000000,4637,675101,0,0,0,0,0,0,0,0,0,0,0,1,2017,150,0,Jai Lava Kusa,Kalyan Ram,2,7,417260,N.T. Rama Rao Jr.,14,7.43,0,Raashi Khanna,7,6.86,1440406,Niveda Thomas,3,9,663776,Devi Sri Prasad,64,7.31,3614707,Bobby Kolli,2,7,0,7.43,6136149,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
2568760,6.5,373271,1400000,862,675101,0,0,0,0,0,0,0,0,0,0,0,0,2012,135,0,Theevram,Ismayil,1,6,0,Dulquer Salmaan,14,6.79,0,Sreenivasan,11,7.64,0,Vinay Forrt,1,6,0,Roby Abraham,1,6,0,Roopesh Peethambaran,1,6,0,6.41,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
7853268,6.5,373271,1400000,213,675101,0,0,0,0,0,0,0,0,0,0,0,0,2018,134,0,Echarikkai Idhu Manithargal Nadamadum Idam, Unknown,419,6.72,411821,Sathyaraj,2,7,838,Varalaxmi Sarathkumar,1,6,606861,Kishore Kumar G.,4,7.5,0, Unknown,427,6.54,38071,Sarjun,2,5.5,0,6.54,1057591,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
5891348,6.2,148071,1400000,541,675101,0,0,0,0,0,0,1,0,0,0,0,0,2017,155,0,Super Singh,Anurag Singh,2,5.5,20612,Diljit Dosanjh,8,7.5,5806560,Sonam Bajwa,4,6.25,549855,Pavan Malhotra,4,6.75,0,Jatinder Shah,10,6.7,38750,Anurag Singh,7,7.57,20612,6.71,6436389,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
8992946,7.7,373271,1400000,18,675101,0,0,0,0,0,0,0,0,0,0,0,0,2019,119,0,Cargo,Navin Shetty,1,8,0,Armaan Mirza,1,8,0,Nandu Madhav,1,8,0,Vikrant Massey,1,8,0,Sagar Desai,9,7,0,Arati Kadav,1,8,0,7.83,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
9389870,5.7,373271,1400000,41,675101,0,0,0,0,0,0,0,0,0,0,0,0,2018,124,0,Adventures of Jojo, Unknown,419,6.72,411821,Samiul Alam,3,7.33,0,Jashojeet Banerjee,1,6,23963,Padmanabha Dasgupta,1,6,0, Unknown,427,6.54,38071,Raj Chakraborty,13,6.77,1838597,6.56,2312452,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
